10_wapp,"[19286550, 11555, 1669.1086109909131]"
24hour,"[92542782, 23203, 3988.3972762142826]"
4rs,"[4577129, 2653, 1725.2653599698453]"
albuquerque,"[892706, 410, 2177.3317073170733]"
app_assigned,"[259912520, 109012, 2384.2560452060325]"
category,"[41433205, 21731, 1906.6405135520686]"
contact-us,"[267642604, 125999, 2124.164509242137]"
contact_us,"[267378046, 125944, 2122.9915359207266]"
country_us,"[358335833, 249058, 1438.7645970015017]"
default_form,"[129576999, 67573, 1917.5854113329287]"
grg,"[10198488, 2445, 4171.160736196319]"
gs.g1,"[10198488, 2445, 4171.160736196319]"
i.r1.1,"[4572217, 2650, 1725.3649056603774]"
lang_en,"[267258589, 125925, 2122.363224141354]"
location-india,"[271128982, 133083, 2037.292381446165]"
north_america,"[358335833, 249058, 1438.7645970015017]"
not_editable,"[262753245, 120952, 2172.376190554931]"
occasions,"[3349080, 1984, 1688.0443548387098]"
qascrubbed-to-60660541,"[24046080, 9754, 2465.2532294443304]"
reason4_4j7,"[13461182, 9943, 1353.8350598410943]"
refund,"[16385800, 9355, 1751.5553180117583]"
refund_not_issued,"[97098765, 55631, 1745.407506606029]"
something_else,"[41198434, 21589, 1908.3067302793088]"
supportexpired,"[23578535, 8884, 2654.0449122017108]"
surveymonkeycsat,"[316455361, 227026, 1393.9168245046824]"
teamveera,"[20499194, 9021, 2272.38598824964]"
tech,"[12843349, 5858, 2192.446056674633]"
touch_android,"[23648870, 11420, 2070.8292469352014]"
united_states,"[283184757, 171580, 1650.4531821890664]"
4cp,"[3240330, 1507, 2150.185799601858]"
flexible_form,"[137678502, 58351, 2359.488303542356]"
fort-lauderdale,"[3488349, 1557, 2240.4296724470137]"
i.s7a,"[3240344, 1508, 2148.769230769231]"
my_promotional_discount_isn_t_working,"[8974455, 3224, 2783.639888337469]"
nlp,"[137709440, 58355, 2359.856738925542]"
promotions_discounts_and_referrals,"[11644575, 4691, 2482.32253250906]"
refund_issued,"[78416405, 67260, 1165.86983348201]"
web,"[137708294, 58352, 2359.958424732657]"
i_need_to_check_on_the_status_of_a_refund,"[5418188, 2531, 2140.7301461872776]"
kansas-city,"[2678610, 926, 2892.6673866090714]"
managing_account_information,"[20677045, 8729, 2368.7759193492952]"
touch_iphone,"[45531418, 23399, 1945.8702508654217]"
2mi,"[4706599, 2291, 2054.386294194675]"
a_problem_making_a_purchase,"[23981895, 8225, 2915.731914893617]"
b.g8,"[4671766, 2279, 2049.919262834577]"
deal,"[36953257, 7488, 4934.996928418804]"
portland-me,"[634327, 298, 2128.6140939597317]"
reason4_1a2,"[7623128, 4822, 1580.9058481957693]"
receiving_an_error_message,"[11463599, 3687, 3109.1941958231623]"
refund_not_discussed,"[170729134, 120919, 1411.9297546291318]"
02e,"[23585644, 14938, 1578.9023965724996]"
a.s5,"[23585643, 14938, 1578.9023296291336]"
denver,"[3699293, 1928, 1918.7204356846473]"
dupe,"[23582108, 14936, 1578.877075522228]"
goods,"[74278270, 45005, 1650.444839462282]"
item_delivery_and_returns,"[44297824, 23538, 1881.9706007307334]"
mf2,"[49502789, 33451, 1479.859765029446]"
outside_shipping_window,"[36348114, 22124, 1642.9268667510396]"
reason4_2g10,"[5515004, 5141, 1072.749270569928]"
user,"[121602580, 62631, 1941.571745621178]"
where_is_my_item,"[25156127, 14194, 1772.3071015922221]"
gg.s1.1,"[9328828, 6094, 1530.821791926485]"
reason4_2g13,"[11089363, 8684, 1276.987908797789]"
rochester,"[854549, 402, 2125.7437810945275]"
02d,"[17242195, 7409, 2327.1959778647592]"
06g,"[9740464, 3211, 3033.4674556213017]"
4gr,"[5461168, 2990, 1826.4775919732442]"
4gr2,"[4186890, 2182, 1918.8313473877176]"
a.r7.1,"[6979638, 2482, 2812.102336825141]"
a.r7.2a,"[6136048, 1554, 3948.5508365508367]"
a.s3,"[17138455, 7330, 2338.12482946794]"
agent2plus,"[149308883, 43616, 3423.2594231474686]"
akron-canton,"[847096, 413, 2051.0799031477]"
auto-reply-human-followup,"[37693407, 19797, 1903.9959084709803]"
auto-reply-sent,"[53746190, 22689, 2368.821455330777]"
bounce,"[64725600, 32584, 1986.4227841885588]"
goods-team,"[13651945, 4508, 3028.381765749778]"
i.s1b,"[5461132, 2989, 1827.0766142522582]"
location-chicago,"[71289922, 72238, 986.8756333231817]"
prasad_tharanirajan,"[397184, 57, 6968.140350877193]"
reason4_2g19,"[24744922, 13314, 1858.5640678984528]"
teamian,"[7591463, 1830, 4148.34043715847]"
tempyellow,"[36801988, 11034, 3335.326083016132]"
to-gt,"[10267761, 3719, 2760.8929819844043]"
14tn2,"[1298500, 505, 2571.2871287128714]"
6rm2,"[18418535, 1157, 15919.217804667243]"
agent3plus,"[67864625, 16295, 4164.7514575023015]"
boston,"[6208535, 2705, 2295.2070240295748]"
followup-goods-res,"[1698290, 506, 3356.304347826087]"
gg.t10a,"[4878678, 817, 5971.4541003671975]"
gg.t10b,"[209621, 57, 3677.561403508772]"
gg.t5b,"[1298507, 506, 2566.219367588933]"
high_wapp,"[20106503, 11594, 1734.2162325340694]"
keepbounceback,"[19626081, 13127, 1495.0926335034662]"
m.r1.2,"[18418535, 1157, 15919.217804667243]"
returns_support,"[2950539, 360, 8195.941666666668]"
touch_mobile_web,"[56031921, 30716, 1824.1932868863132]"
02a,"[37644474, 13887, 2710.7707928278246]"
02m,"[1736681, 510, 3405.2568627450983]"
4uc,"[108775, 68, 1599.6323529411766]"
a.s2,"[37091277, 13490, 2749.538695329874]"
a.s8,"[1736681, 510, 3405.2568627450983]"
